pan_id,full_sample_id,partner,volume,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g,
3,POC-466-20220126,host,4,1.1569,1.2153,1.2136,0.0567
4,POC-467-20220125,host,4,1.1372,1.2027,1.1923,0.0551
5,POC-468-20220126,host,4,1.1402,1.2059,1.2007,0.0605
6,POC-469-20220126,host,4,1.1364,1.2158,1.2094,0.073
7,POC-470-20220126,host,4,1.1187,1.1825,1.17,0.0513
8,POC-471-20220126,host,4,1.1312,1.1948,1.184,0.0528
9,POC-472-20220126,host,2.5,1.1459,1.1894,1.1788,0.0329
10,POC-473-20220126,host,4,1.1481,1.2209,1.2013,0.0532
11,POC-474-20220126,host,4,1.1537,1.2288,1.2118,0.0581
12,POC-475-20220126,host,4,1.1344,1.2056,1.1934,0.059
14,POC-466-20221015,host,4,1.1505,1.2115,1.2002,0.0497
15,POC-467-20221015,host,4,1.1227,1.1895,1.1726,0.0499
16,POC-468-20221015,host,4,1.1185,1.1978,1.1852,0.0667
17,POC-469-20221015,host,4,0.7483,0.7985,0.7921,0.0438
18,POC-470-20221015,host,4,0.748,0.8092,0.7889,0.0409
19,POC-471-20221015,host,4,0.7487,0.8278,0.8029,0.0542
20,POC-472-20221015,host,4,0.7298,0.7889,0.7704,0.0406
21,POC-473-20221015,host,4,0.748,0.8192,0.7926,0.0446
22,POC-474-20221015,host,4,0.7412,0.7952,0.7828,0.0416
23,POC-475-20221015,host,4,0.7267,0.7861,0.7729,0.0462
24,POC-476-20221017,host,4,0.7752,0.7884,0.7791,0.0039
25,POC-477-20221017,host,4,0.7409,0.7995,0.788,0.0471
26,POC-478-20221017,host,4,0.7333,0.7782,0.7696,0.0363
27,POC-479-20221017,host,4,0.7321,0.7862,0.7754,0.0433
28,POC-480-20221017,host,4,0.729,0.7917,0.7852,0.0562
29,POC-481-20221017,host,4,0.7213,0.787,0.7722,0.0509
30,POC-482-20221017,host,4,0.7337,0.7942,0.7867,0.053
31,POC-483-20221017,host,4,0.7418,0.798,0.7882,0.0464
32,POC-484-20221017,host,4,0.7464,0.807,0.792,0.0456
33,POC-485-20221017,host,4,0.7357,0.7971,0.7825,0.0468
34,POC-466-20220811,host,4,0.7516,0.8704,0.7992,0.0476
35,POC-467-20220811,host,4,0.7312,0.7821,0.7716,0.0404
36,POC-468-20220811,host,4,0.7557,0.8034,0.7975,0.0418
37,POC-469-20220811,host,4,0.733,0.7741,0.7702,0.0372
38,POC-470-20220811,host,4,0.7553,0.8107,0.8052,0.0499
39,POC-471-20220811,host,4,0.7476,0.7998,0.7949,0.0473
40,POC-472-20220811,host,4,0.7275,0.7843,0.7716,0.0441
41,POC-473-20220811,host,4,0.7191,0.7844,0.7706,0.0515
42,POC-474-20220811,host,4,0.7316,0.7874,0.7796,0.048
43,POC-475-20220811,host,4,0.7478,0.7959,0.7884,0.0406
44,POC-476-20220812,host,4,0.7315,0.7832,0.7772,0.0457
45,POC-477-20220812,host,4,0.7445,0.7994,0.789,0.0445
46,POC-478-20220812,host,4,0.7675,0.7963,0.7792,0.0117
47,POC-479-20220812,host,4,0.7267,0.7832,0.7739,0.0472
48,POC-480-20220812,host,4,0.7566,0.8005,0.7943,0.0377
49,POC-481-20220812,host,4,0.7261,0.7795,0.7693,0.0432
50,POC-482-20220812,host,4,0.7341,0.7914,0.7821,0.048
51,POC-483-20220812,host,4,0.7298,0.7824,0.7731,0.0433
52,POC-484-20220812,host,4,0.7312,0.769,0.7635,0.0323
53,POC-485-20220812,host,4,0.7589,0.8006,0.7924,0.0335
55,POC-466-20221111,host,4,0.7354,0.8197,0.7889,0.0535
56,POC-467-20221111,host,4,0.7446,0.8021,0.7891,0.0445
57,POC-468-20221111,host,4,0.7415,0.82,0.7936,0.0521
58,POC-469-20221111,host,4,0.7386,0.8027,0.7854,0.0468
59,POC-470-20221111,host,4,0.7403,0.8379,0.7979,0.0576
60,POC-471-20221111,host,4,0.746,0.8261,0.7978,0.0518
61,POC-472-20221111,host,4,0.7278,0.8161,0.7823,0.0545
62,POC-473-20221111,host,4,0.732,0.8134,0.7865,0.0545
63,POC-474-20221111,host,4,0.7412,0.8358,0.796,0.0548
64,POC-475-20221111,host,4,0.7357,0.8158,0.7879,0.0522
65,POC-476-20221110,host,4,0.7318,0.7866,0.7716,0.0398
66,POC-477-20221110,host,4,0.7262,0.7775,0.7667,0.0405
67,POC-478-20221110,host,4,0.7383,0.7927,0.78,0.0417
68,POC-479-20221110,host,4,0.7304,0.7923,0.7747,0.0443
69,POC-480-20221110,host,4,0.7398,0.7887,0.7783,0.0385
70,POC-481-20221110,host,4,0.742,0.8011,0.7851,0.0431
71,POC-482-20221110,host,4,0.7358,0.7753,0.7666,0.0308
72,POC-483-20221110,host,4,0.7469,0.8062,0.792,0.0451
73,POC-484-20221110,host,4,0.7411,0.7968,0.7882,0.0471
74,POC-485-20221110,host,4,0.7492,0.8032,0.7969,0.0477
75,POC-466-20220616,host,4,0.7514,0.7796,0.7777,0.0263
76,POC-467-20220616,host,4,0.754,0.8203,0.8035,0.0495
77,POC-468-20220616,host,4,0.7413,0.8065,0.7919,0.0506
78,POC-469-20220616,host,4,0.7352,0.807,0.7881,0.0529
79,POC-470-20220616,host,4,0.7537,0.8054,0.7871,0.0334
80,POC-471-20220616,host,4,0.7486,0.8205,0.8,0.0514
81,POC-472-20220616,host,4,0.728,0.8747,0.7815,0.0535
82,POC-473-20220616,host,4,0.7362,0.8109,0.7912,0.055
83,POC-474-20220616,host,4,0.7606,0.8336,0.8135,0.0529
84,POC-475-20220616,host,4,0.751,0.8271,0.8049,0.0539
85,POC-476-20220617,host,4,0.7263,0.7782,0.7704,0.0441
86,POC-477-20220617,host,4,0.7376,0.8081,0.7879,0.0503
87,POC-478-20220617,host,4,0.7389,0.8051,0.7882,0.0493
88,POC-479-20220617,host,4,0.7505,0.8307,0.8064,0.0559
89,POC-480-20220617,host,4,0.7286,0.7925,0.7768,0.0482
90,POC-481-20220617,host,4,0.7299,0.8104,0.7837,0.0538
91,POC-482-20220617,host,4,0.7319,0.7941,0.7763,0.0444
92,POC-483-20220617,host,4,0.7483,0.8153,0.7962,0.0479
93,POC-485-20220617,host,4,0.7429,0.7991,0.7879,0.045
94,POC-466-20220515,host,4,0.745,0.7973,0.7899,0.0449
95,POC-467-20220515,host,4,0.7439,0.7695,0.766,0.0221
96,POC-468-20220515,host,4,0.7525,0.7842,0.7801,0.0276
97,POC-469-20220515,host,4,0.7486,0.7965,0.7907,0.0421
98,POC-470-20220515,host,4,0.7311,0.7728,0.7666,0.0355
99,POC-471-20220515,host,4,0.7375,0.7935,0.7824,0.0449
100,POC-472-20220515,host,4,0.7392,0.7891,0.781,0.0418
101,POC-473-20220515,host,4,0.7488,0.8144,0.7999,0.0511
102,POC-474-20220515,host,4,0.7491,0.8012,0.7925,0.0434
