date,colony_id,full_sample_id,timepoint,homog_vol_ml,date_airbrushed,site,notes,Aliquoted,Notes
20220126,POC-466,POC-466-20220126,Jan,22.5,20220411,backreef,NOT_ALIQUOTED,,
20220126,POC-467,POC-467-20220126,Jan,17.5,20220411,backreef,NOT_ALIQUOTED,,
20220126,POC-468,POC-468-20220126,Jan,26,20220411,backreef,NOT_ALIQUOTED,,
20220126,POC-469,POC-469-20220126,Jan,8,20220411,backreef,NOT_ALIQUOTED,,
20220126,POC-470,POC-470-20220126,Jan,11,20220411,backreef,NOT_ALIQUOTED,,
20220126,POC-471,POC-471-20220126,Jan,22.5,20220411,backreef,NOT_ALIQUOTED,,
20220126,POC-472,POC-472-20220126,Jan,7.5,20220411,backreef,NOT_ALIQUOTED,,
20220126,POC-473,POC-473-20220126,Jan,15,20220411,backreef,NOT_ALIQUOTED,,
20220126,POC-474,POC-474-20220126,Jan,24,20220411,backreef,NOT_ALIQUOTED,,
20220126,POC-475,POC-475-20220126,Jan,21,20220411,backreef,NOT_ALIQUOTED,,
20220215,POC-466,POC-466-20220215,Feb,26,20220320,backreef,,,
20220215,POC-467,POC-467-20220215,Feb,64,20220320,backreef,2 tubes,,
20220215,POC-468,POC-468-20220215,Feb,34,20220320,backreef,,,
20220215,POC-469,POC-469-20220215,Feb,16,20220320,backreef,,,
20220215,POC-470,POC-470-20220215,Feb,17.5,20220320,backreef,,,
20220215,POC-471,POC-471-20220215,Feb,12,20220320,backreef,,,
20220215,POC-472,POC-472-20220215,Feb,15,20220320,backreef,,,
20220215,POC-473,POC-473-20220215,Feb,56,20220320,backreef,2 tubes,,
20220215,POC-474,POC-474-20220215,Feb,39,20220320,backreef,,,
20220215,POC-475,POC-475-20220215,Feb,54,20220320,backreef,2 tubes,,
20220217,POC-476,POC-476-20220217,Feb,32,20220320,forereef,,,
20220217,POC-477,POC-477-20220217,Feb,42.5,20220320,forereef,,,
20220217,POC-478,POC-478-20220217,Feb,84,20220320,forereef,2 tubes,,
20220217,POC-479,POC-479-20220217,Feb,64,20220320,forereef,2 tubes,,
20220217,POC-480,POC-480-20220217,Feb,29,20220320,forereef,,,
20220217,POC-481,POC-481-20220217,Feb,62,20220320,forereef,2 tubes,,
