well,full_sample_id
A1,POC-466-20220215
A2,POC-467-20220215
A3,POC-468-20220215
A4,POC-469-20220215
A5,POC-470-20220215
A6,POC-471-20220215
A7,POC-472-20220215
A8,POC-473-20220215
A9,POC-474-20220215
A10,POC-475-20220215
A11,POC-476-20220217
A12,POC-477-20220217
B1,POC-466-20220215
B2,POC-467-20220215
B3,POC-468-20220215
B4,POC-469-20220215
B5,POC-470-20220215
B6,POC-471-20220215
B7,POC-472-20220215
B8,POC-473-20220215
B9,POC-474-20220215
B10,POC-475-20220215
B11,POC-476-20220217
B12,POC-477-20220217
C1,POC-478-20220217
C2,POC-479-20220217
C3,POC-480-20220217
C4,POC-481-20220217
C5,POC-482-20220217
C6,POC-483-20220217
C7,POC-484-20220217
C8,POC-485-20220217
C9,NA
C10,NA
C11,NA
C12,NA
D1,POC-478-20220217
D2,POC-479-20220217
D3,POC-480-20220217
D4,POC-481-20220217
D5,POC-482-20220217
D6,POC-483-20220217
D7,POC-484-20220217
D8,POC-485-20220217
D9,NA
D10,NA
D11,NA
D12,NA
E1,NA
E2,NA
E3,NA
E4,NA
E5,NA
E6,NA
E7,NA
E8,NA
E9,NA
E10,NA
E11,NA
E12,NA
F1,NA
F2,NA
F3,NA
F4,NA
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,StandardA
G2,StandardB
G3,StandardC
G4,StandardD
G5,StandardE
G6,StandardF
G7,StandardG
G8,StandardH
G9,StandardI
G10,NA
G11,NA
G12,NA
H1,StandardA
H2,StandardB
H3,StandardC
H4,StandardD
H5,StandardE
H6,StandardF
H7,StandardG
H8,StandardH
H9,StandardI
H10,NA
H11,NA
H12,NA
