Software Version,3.05.11,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\20240204_BCA_HoloJan_Holo485_HostApril.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\BCA_Protein.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,2/4/24,,,,,,,,,,,,
Time,2:58:15 PM,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,562,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,26.3,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.46,1.561,1.074,1.218,1.363,1.185,1.473,1.428,1.798,1.137,1.974,1.195,562:562
B,1.556,1.648,1.139,1.211,1.453,1.179,1.478,1.403,1.817,1.237,1.974,1.204,562:562
C,1.044,0.815,1.293,1.173,1.196,0.692,0.723,1.225,0.5,0.864,1.37,1.583,562:562
D,1.072,0.829,1.467,1,1.246,0.703,0.736,1.167,0.513,0.867,1.507,1.617,562:562
E,1.208,0.797,0.953,0.959,0.939,0.381,1.277,0.608,0.922,1.258,0.678,0.978,562:562
F,1.232,0.818,0.856,1,0.981,0.383,1.319,0.627,0.952,1.221,0.712,1.002,562:562
G,3.143,1.699,1.276,0.955,0.709,0.434,0.262,0.111,0.082,1.4,2.175,2.266,562:562
H,3,2.025,1.433,1.033,0.746,0.446,0.274,0.112,0.081,1.46,2.532,2.345,562:562
