well,full_sample_id
A1,POC-466-20221115
A2,POC-467-20221115
A3,POC-468-20221115
A4,POC-469-20221115
A5,POC-470-20221115
A6,POC-471-20221115
A7,POC-472-20221115
A8,POC-473-20221115
A9,POC-474-20221115
A10,POC-475-20221115
A11,POC-476-20221104
A12,POC-477-20221104
B1,POC-466-20221115
B2,POC-467-20221115
B3,POC-468-20221115
B4,POC-469-20221115
B5,POC-470-20221115
B6,POC-471-20221115
B7,POC-472-20221115
B8,POC-473-20221115
B9,POC-474-20221115
B10,POC-475-20221115
B11,POC-476-20221104
B12,POC-477-20221104
C1,POC-478-20221104
C2,POC-479-20221104
C3,POC-480-20221104
C4,POC-481-20221104
C5,POC-482-20221104
C6,POC-483-20221104
C7,POC-484-20221104
C8,POC-485-20221104
C9,POC-466-20220126
C10,POC-467-20220126
C11,POC-468-20220126
C12,POC-469-20220126
D1,POC-478-20221104
D2,POC-479-20221104
D3,POC-480-20221104
D4,POC-481-20221104
D5,POC-482-20221104
D6,POC-483-20221104
D7,POC-484-20221104
D8,POC-485-20221104
D9,POC-466-20220126
D10,POC-467-20220126
D11,POC-468-20220126
D12,POC-469-20220126
E1,POC-470-20220126
E2,POC-471-20220126
E3,POC-472-20220126
E4,POC-473-20220126
E5,POC-474-20220126
E6,POC-475-20220126
E7,POC-485-20220517
E8,POC-485-20220930
E9,POC-485-20220812
E10,POC-485-20220729
E11,NA
E12,NA
F1,POC-470-20220126
F2,POC-471-20220126
F3,POC-472-20220126
F4,POC-473-20220126
F5,POC-474-20220126
F6,POC-475-20220126
F7,POC-485-20220517
F8,POC-485-20220930
F9,POC-485-20220812
F10,POC-485-20220729
F11,NA
F12,NA
G1,StandardA
G2,StandardB
G3,StandardC
G4,StandardD
G5,StandardE
G6,StandardF
G7,StandardG
G8,StandardH
G9,StandardI
G10,NA
G11,NA
G12,NA
H1,StandardA
H2,StandardB
H3,StandardC
H4,StandardD
H5,StandardE
H6,StandardF
H7,StandardG
H8,StandardH
H9,StandardI
H10,NA
H11,NA
H12,NA
