colony_id,timepoint,homog_vol_ml,date_airbrushed,site,notes
POC-466,MARCH,22.5,20220316,backreef,
POC-467,MARCH,17.5,20220316,backreef,
POC-468,MARCH,27.5,20220316,backreef,
POC-469,MARCH,75,20220316,backreef,2 tubes of 37.5mL
POC-470,MARCH,32.5,20220316,backreef,
POC-471,MARCH,100,20220316,backreef,2 tubes of 50mL
POC-472,MARCH,7.5,20220316,backreef,
POC-473,MARCH,7.5,20220316,backreef,"was 11mL, tube was cracked, leaked to 7.5mL"
POC-474,MARCH,27,20220316,backreef,
POC-475,MARCH,37.5,20220316,backreef,
POC-476,MARCH,32.5,20220316,forereef,
POC-477,MARCH,22,20220316,forereef,
POC-478,MARCH,66,20220316,forereef,2 tubes of 33mL
POC-479,MARCH,25,20220316,forereef,
POC-480,MARCH,7.5,20220316,forereef,
POC-481,MARCH,39,20220316,forereef,
POC-482,MARCH,21,20220316,forereef,
POC-483,MARCH,58,20220316,forereef,2 tubes of 29mL
POC-484,MARCH,50,20220316,forereef,2 tubes of 25mL
POC-485,MARCH,70,20220316,forereef,2 tubes of 35mL
