colony_id,Sample,Diameter,weight1.g,weight2.g,timepoint,site,Notes
1,Standard,7.44,140.4,146,JAN,NA,
2,Standard,6.22,93.271,96.842,JAN,NA,
3,Standard,5.08,46.368,48.827,JAN,NA,
4,Standard,3.16,10.977,11.685,JAN,NA,
5,Standard,2.52,6.212,6.59,JAN,NA,
6,Standard,1.9,2.204,2.411,JAN,NA,
7,Standard,1.18,0.577,0.649,JAN,NA,
POC-470,coral,NA,18.459,19.427,MARCH,backreef,
POC-466,coral,NA,8.992,9.467,MARCH,backreef,
POC-482,coral,NA,9.09,9.618,MARCH,forereef,
POC-484,coral,NA,17.453,18.553,MARCH,forereef,
POC-467,coral,NA,11.583,12.461,MARCH,backreef,
POC-468,coral,NA,10.117,10.69,MARCH,backreef,
POC-479,coral,NA,9.773,10.367,MARCH,forereef,
POC-472,coral,NA,7.686,8.135,MARCH,backreef,
POC-481,coral,NA,19.732,20.78,MARCH,forereef,
POC-471,coral,NA,25.142,26.843,MARCH,backreef,
POC-483,coral,NA,20.519,21.848,MARCH,forereef,
POC-473,coral,NA,11.378,12.266,MARCH,backreef,
POC-485,coral,NA,14.213,12.266,MARCH,forereef,
POC-477,coral,NA,3.948,4.229,MARCH,forereef,
POC-474,coral,NA,17.625,18.408,MARCH,backreef,
POC-469,coral,NA,24.245,25.825,MARCH,backreef,
POC-478,coral,NA,25.88,27.528,MARCH,forereef,
POC-476,coral,NA,13.479,14.472,MARCH,forereef,
POC-475,coral,NA,13.467,14.237,MARCH,backreef,
POC-480,coral,NA,3.35,3.525,MARCH,forereef,
